URL,Category
https://www.sephora.com/product/ultra-violette-sheen-hydrating-lip-balm-spf50-P511691?icid2=products%20grid:p511691:product,lip-balm-lip-care
https://www.sephora.com/product/jack-black-the-balm-squad-P452696?icid2=products%20grid:p452696:product,lip-balm-lip-care
https://www.sephora.com/product/cle-de-peau-beaute-protective-lip-treatment-P505500?icid2=products%20grid:p505500:product,lip-balm-lip-care
https://www.sephora.com/product/silk-balm-icy-cryo-plumping-lip-balm-P500730?icid2=products%20grid:p500730:product,lip-balm-lip-care
https://www.sephora.com/product/huda-beauty-silk-balm-honey-kiss-lip-balm-P476690?icid2=products%20grid:p476690:product,lip-balm-lip-care
https://www.sephora.com/product/lift-firm-y-zone-line-filler-lips-contour-P508036?icid2=products%20grid:p508036:product,lip-balm-lip-care
https://www.sephora.com/product/gucci-baume-agrave-l-egrave-vres-lip-balm-P452738?icid2=products%20grid:p452738:product,lip-balm-lip-care
https://www.sephora.com/product/fresh-sugar-citrus-hydrating-lip-balm-P480304?icid2=products%20grid:p480304:product,lip-balm-lip-care
https://www.sephora.com/product/barrier-triple-lipid-collagen-plumping-lip-treatment-P507981?icid2=products%20grid:p507981:product,lip-balm-lip-care
https://www.sephora.com/product/mac-cosmetics-glow-play-tendertalk-lip-balm-P512277?icid2=products%20grid:p512277:product,lip-balm-lip-care
https://www.sephora.com/product/supergoop-lipscreen-shine-spf-40-sunscreen-lip-gloss-P505840?icid2=products%20grid:p505840:product,lip-balm-lip-care
https://www.sephora.com/product/glow-recipe-plum-plump-hyaluronic-acid-gloss-balm-P505433?icid2=products%20grid:p505433:product,lip-balm-lip-care
https://www.sephora.com/product/guerlain-kiss-kiss-bee-glow-lip-oil-P510448?icid2=products%20grid:p510448:product,lip-balm-lip-care
https://www.sephora.com/product/nars-soft-matte-tinted-lip-balm-P468392?icid2=products%20grid:p468392:product,lip-balm-lip-care
https://www.sephora.com/product/sugar-wonder-drops-lip-primer-P433983?icid2=products%20grid:p433983:product,lip-balm-lip-care
https://www.sephora.com/product/orchidee-imperiale-eye-lip-contour-cream-P428613?icid2=products%20grid:p428613:product,lip-balm-lip-care
https://www.sephora.com/product/lip-conditioner-P11134587?icid2=products%20grid:p11134587:product,lip-balm-lip-care
https://www.sephora.com/product/pop-laquer-lip-colour-primer-P405208?icid2=products%20grid:p405208:product,lip-balm-lip-care
https://www.sephora.com/product/unity-balm-hydrating-lip-balm-P515700?icid2=products%20grid:p515700:product,lip-balm-lip-care
https://www.sephora.com/product/clarins-lip-comfort-oil-discovery-kit-P513492?icid2=products%20grid:p513492:product,lip-balm-lip-care
https://www.sephora.com/product/hydra-plump-lip-primer-P432062?icid2=products%20grid:p432062:product,lip-balm-lip-care
https://www.sephora.com/product/kaja-strawberry-rose-balmy-bento-lip-balm-scrub-P468164?icid2=products%20grid:p468164:product,lip-balm-lip-care
https://www.sephora.com/product/lip-retreat-oil-P444141?icid2=products%20grid:p444141:product,lip-balm-lip-care
https://www.sephora.com/product/sea-lip-facial-lip-scrub-P409984?icid2=products%20grid:p409984:product,lip-balm-lip-care
https://www.sephora.com/product/advanced-lip-serum-P503226?icid2=products%20grid:p503226:product,lip-balm-lip-care
https://www.sephora.com/product/instant-light-lip-comfort-oil-P407406?icid2=products%20grid:p407406:product,lip-balm-lip-care
https://www.sephora.com/product/rose-lip-conditioner-P398965?icid2=products%20grid:p398965:product,lip-balm-lip-care
https://www.sephora.com/product/huda-beauty-silk-balm-hydra-plumping-lip-balm-P459256?icid2=products%20grid:p459256:product,lip-balm-lip-care
https://www.sephora.com/product/je-ne-sais-quoi-hydrating-color-awakening-lip-treatment-P411395?icid2=products%20grid:p411395:product,lip-balm-lip-care
https://www.sephora.com/product/peach-lip-scrub-P435336?icid2=products%20grid:p435336:product,lip-balm-lip-care
https://www.sephora.com/product/renewal-lip-complex-P423452?icid2=products%20grid:p423452:product,lip-balm-lip-care
https://www.sephora.com/product/the-stick-natural-lip-balm-P408044?icid2=products%20grid:p408044:product,lip-balm-lip-care
https://www.sephora.com/product/jack-black-nightmode-tm-lip-treatment-P504700?icid2=products%20grid:p504700:product,lip-balm-lip-care
https://www.sephora.com/product/silk-balm-spicy-thermo-plumping-lip-balm-P500769?icid2=products%20grid:p500769:product,lip-balm-lip-care
https://www.sephora.com/product/prep-prime-lip-P77898431?icid2=products%20grid:p77898431:product,lip-balm-lip-care
https://www.sephora.com/product/color-gel-lip-balm-P443795?icid2=products%20grid:p443795:product,lip-balm-lip-care
https://www.sephora.com/product/grande-cosmetics-grandepout-plumping-lip-mask-P471548?icid2=products%20grid:p471548:product,lip-balm-lip-care
https://www.sephora.com/product/tarte-maracuja-juicy-lip-creme-P504200?icid2=products%20grid:p504200:product,lip-balm-lip-care
https://www.sephora.com/product/kids-tinted-lip-oil-P516958?icid2=products%20grid:p516958:product,lip-balm-lip-care
https://www.sephora.com/product/dior-dior-addict-natural-glow-lip-essentials-P510399?icid2=products%20grid:p510399:product,lip-balm-lip-care
