Category,URL
face-mask,https://www.sephora.com/product/ginzing-tm-glow-boosting-mask-P500497?icid2=products%20grid:p500497:product
face-mask,https://www.sephora.com/product/kate-hudson-juice-beauty-energizing-age-defy-cocktail-concentrate-P500490?icid2=products%20grid:p500490:product
face-mask,https://www.sephora.com/product/cucumber-gel-mask-P390018?icid2=products%20grid:p390018:product
face-mask,https://www.sephora.com/product/cle-de-peau-beaute-precious-gold-vitality-mask-P481687?icid2=products%20grid:p481687:product
face-mask,https://www.sephora.com/product/juice-beauty-kate-hudson-juice-beauty-revitalizing-acacia-rose-powder-mask-P480448?icid2=products%20grid:p480448:product
face-mask,https://www.sephora.com/product/pore-cleaner-bubble-foam-P431842?icid2=products%20grid:p431842:product
face-mask,https://www.sephora.com/product/watermelon-brightening-face-mask-P440279?icid2=products%20grid:p440279:product
face-mask,https://www.sephora.com/product/lise-watier-hydrating-mask-P460775?icid2=products%20grid:p460775:product
face-mask,https://www.sephora.com/product/24k-gold-mask-pure-luxury-lift-firm-mask-P397330?icid2=products%20grid:p397330:product
face-mask,https://www.sephora.com/product/blume-sunbeam-exfoliating-mask-P481406?icid2=products%20grid:p481406:product
face-mask,https://www.sephora.com/product/first-care-activating-mask-P450631?icid2=products%20grid:p450631:product
face-mask,https://www.sephora.com/product/clear-improvement-tm-rich-purifying-charcoal-mask-P507499?icid2=products%20grid:p507499:product
face-mask,https://www.sephora.com/product/peter-thomas-roth-water-drench-hyaluronic-cloud-mask-P473857?icid2=products%20grid:p473857:product
face-mask,https://www.sephora.com/product/topicals-like-butter-mask-for-dry-sensitive-eczema-prone-skin-P470061?icid2=products%20grid:p470061:product
face-mask,https://www.sephora.com/product/violet-ice-cold-plunge-pore-clay-mask-P517126?icid2=products%20grid:p517126:product
face-mask,https://www.sephora.com/product/the-inkey-list-inkey-pimple-patches-P511707?icid2=products%20grid:p511707:product
